label_flag,rows,columns
8,1271,25
distance,speed_down_aw0,level_flag_down_aw0,level_output_down_aw0,speed_down_aw1,level_flag_down_aw1,level_output_down_aw1,speed_down_aw2,level_flag_down_aw2,level_output_down_aw2,speed_down_aw3,level_flag_down_aw3,level_output_down_aw3,speed_up_aw0,level_flag_up_aw0,level_output_up_aw0,speed_up_aw1,level_flag_up_aw1,level_output_up_aw1,speed_up_aw2,level_flag_up_aw2,level_output_up_aw2,speed_up_aw3,level_flag_up_aw3,level_output_up_aw3
2160,37.94318843,1,15,0,0,0,0,0,0,0,0,0,34.97782736,1,6,0,0,0,0,0,0,0,0,0
2180,37.97320566,3,17,0,0,0,0,0,0,0,0,0,34.96914962,1,6,0,0,0,0,0,0,0,0,0
2200,37.90450655,3,17,0,0,0,0,0,0,0,0,0,34.99355083,1,6,0,0,0,0,0,0,0,0,0
2220,37.85085712,3,17,0,0,0,0,0,0,0,0,0,35.01795422,1,6,0,0,0,0,0,0,0,0,0
2240,37.79703975,3,17,0,0,0,0,0,0,0,0,0,35.04235971,1,6,0,0,0,0,0,0,0,0,0
2260,37.74305328,3,17,0,0,0,0,0,0,0,0,0,35.06676732,1,6,0,0,0,0,0,0,0,0,0
2280,37.68889552,3,17,0,0,0,0,0,0,0,0,0,35.09117703,1,6,0,0,0,0,0,0,0,0,0
2300,37.63456515,3,17,0,0,0,0,0,0,0,0,0,35.11558885,1,6,0,0,0,0,0,0,0,0,0
2320,37.58006109,3,17,0,0,0,0,0,0,0,0,0,35.14000279,1,6,0,0,0,0,0,0,0,0,0
2340,37.52538227,3,17,0,0,0,0,0,0,0,0,0,35.16441883,1,6,0,0,0,0,0,0,0,0,0
2360,37.47052756,3,17,0,0,0,0,0,0,0,0,0,35.18883698,1,6,0,0,0,0,0,0,0,0,0
2380,37.41549468,3,17,0,0,0,0,0,0,0,0,0,35.21325724,1,6,0,0,0,0,0,0,0,0,0
2400,37.36028214,3,17,0,0,0,0,0,0,0,0,0,35.23767961,1,6,0,0,0,0,0,0,0,0,0
2420,37.30488879,3,17,0,0,0,0,0,0,0,0,0,35.26210409,1,6,0,0,0,0,0,0,0,0,0
2440,37.24931349,3,17,0,0,0,0,0,0,0,0,0,35.28653063,1,6,0,0,0,0,0,0,0,0,0
2460,37.19355507,3,17,0,0,0,0,0,0,0,0,0,35.31095909,1,6,0,0,0,0,0,0,0,0,0
